Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
2021-12-13,13:52:56.118708,995493.53074398,31,34,118.17374220991042
2021-12-13,14:08:06.737697,995770.67630722,31,24,277.1455632400466
2021-12-13,14:23:17.161096,996495.75515449,31,39,725.0788472699933
2021-12-13,14:38:27.615571,997579.75426909,31,29,1083.9991146000102
2021-12-13,14:53:39.165329,997954.45562541,31,29,374.7013563199434
2021-12-13,15:08:49.618452,998206.32449791,31,53,251.8688725000248
2021-12-13,15:24:00.035736,998481.21912312,31,53,274.8946252099704
2021-12-13,15:39:10.312159,998625.60491882,31,34,144.38579570001457
2021-12-13,15:54:20.622168,999342.52285637,31,44,716.9179375499953
2021-12-13,16:09:30.971734,999622.53208,31,48,280.00922363006976
2021-12-13,16:24:41.419129,1000612.8298817,30,29,990.297801699955
2021-12-13,16:45:24.262113,1001916.11103447,30,58,1303.2811527700396
2021-12-13,17:00:34.700905,1004680.72552341,31,34,2764.6144889399875
2021-12-13,17:15:45.151265,1004933.81691258,31,15,253.09138917003293
2021-12-13,17:30:55.595266,1005021.86598009,30,15,88.04906750994269
2021-12-13,17:46:06.132129,1005842.89491098,30,68,821.0289308900246
2021-12-13,18:01:16.446789,1006925.87883947,30,58,1082.9839284899645
2021-12-13,18:16:26.882076,1007265.59116802,30,19,339.7123285500565
2021-12-13,18:31:37.413195,1007475.82266891,30,34,210.23150088998955
2021-12-13,18:46:47.768269,1008244.72879498,30,29,768.9061260699527
2021-12-13,19:01:58.280453,1008516.83868847,30,10,272.1098934899783
2021-12-13,19:17:08.642705,1008792.57810854,30,29,275.7394200700801
2021-12-13,19:32:19.228108,1009418.04117597,30,44,625.4630674299551
2021-12-13,19:47:29.661836,1009933.97381604,31,34,515.9326400699792
2021-12-13,20:02:41.095155,1010361.26013866,31,39,427.2863226199988
2021-12-13,20:17:51.670232,1012124.26768839,31,53,1763.0075497300131
2021-12-13,20:33:02.125897,1012124.26768839,31,44,0.0
2021-12-13,20:48:12.629381,1012701.19931735,30,24,576.9316289600683
2021-12-13,21:03:23.188688,1013059.81799419,30,29,358.61867683997843
2021-12-13,21:18:33.839557,1013201.57485059,30,24,141.75685639993753
2021-12-13,21:33:44.874648,1013286.72436692,30,5,85.14951632998418
2021-12-14,07:20:39.233202,1013286.72436692,31,0,0.0
2021-12-14,07:35:49.412346,1013286.72436692,31,19,0.0
2021-12-14,07:50:59.612035,1013286.72436692,31,29,0.0
2021-12-14,08:06:09.869500,1013286.72436692,31,24,0.0
2021-12-14,08:21:20.209500,1013286.72436692,31,19,0.0
2021-12-14,08:36:30.527575,1013286.72436692,31,24,0.0
2021-12-14,08:51:40.975245,1013286.72436692,31,29,0.0
2021-12-14,09:06:51.188565,1013286.72436692,31,10,0.0
2021-12-14,14:44:26.884051,1015116.37046962,30,0,1829.6461027000328
2021-12-14,14:59:37.638822,1015226.18466452,31,10,109.8141948999837
2021-12-14,15:14:48.818957,1015820.15213361,31,39,593.9674690900138
2021-12-14,15:29:59.307895,1016605.50837788,31,34,785.3562442699913
2021-12-14,15:45:09.511931,1017446.80316071,31,19,841.294782830053
2021-12-14,16:00:19.888623,1017776.66858143,31,29,329.8654207199579
2021-12-14,16:15:30.350795,1018269.57765516,31,34,492.90907372999936
2021-12-14,16:30:40.809200,1019944.4784789,31,29,1674.9008237400558
2021-12-14,16:45:51.130421,1020614.36415601,31,29,669.8856771099381
2021-12-14,17:01:01.356303,1021106.1509232,31,29,491.786767189973
2021-12-14,17:16:11.710310,1021445.52262361,31,29,339.37170041003264
2021-12-14,17:31:22.099201,1021540.73955161,31,19,95.21692799997982
2021-12-14,17:46:32.579399,1021783.9897051,31,19,243.25015348999293
2021-12-14,18:01:42.817169,1021783.9897051,31,34,0.0
2021-12-14,18:16:53.169018,1022544.77960265,31,39,760.7898975500138
2021-12-14,18:32:03.554651,1022972.74348828,31,29,427.9638856300153
2021-12-14,18:47:13.920156,1023194.06473542,31,39,221.32124714006204
2021-12-14,19:02:24.431395,1024074.40849342,31,73,880.3437579999445
2021-12-14,19:17:34.749348,1024487.52785931,31,63,413.1193658900447
2021-12-14,19:32:45.212187,1025206.05249173,31,34,718.5246324199252
